13.2205 	EXP 	Created RestCrossHair = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'yellow', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font=u'Lucida Console', fontFiles=[], height=0.1, italic=False, name='RestCrossHair', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,    0.]), text=u'Merci\nThank you', units=u'norm', win=Window(...), wrapWidth=1)
13.2266 	EXP 	Created FeedbackMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Lucida Console', fontFiles=[], height=0.1, italic=False, name='FeedbackMsg', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
13.2746 	EXP 	Imported C:\Users\jsteffen\Dropbox\SteffenerColumbia\Scripts\ExperimentalStimuli\PartialTrialDIR\ExperimentalTrials\Practice30Trials6LoadsVer1.csv as conditions, 30 conditions, 14 params
13.2751 	EXP 	Created sequence: sequential, trialTypes=30, nReps=1, seed=None
13.4136 	EXP 	RestCrossHair: autoDraw = True
14.8093 	DATA 	Keypress: r
14.8134 	EXP 	RestCrossHair: autoDraw = False
14.8134 	EXP 	RestCrossHair: autoDraw = True
19.8106 	EXP 	New trial (rep=0, index=0): {'RetDur': 5, 'BotBrack': 1, 'StimDur': 2, 'UpBrack': 123456, 'ProbeDurITI': 6, 'ProbeDur': 2, 'ProbeStart': 7, 'TrialDur': 9, 'ITI': 4, 'StimSet': u'JHLGKW', 'RetStart': 2, 'ProbeLet': u'wbqrdf', 'TrialITIDur': 13, 'Correct': u'down'}
19.9260 	EXP 	window1: recordFrameIntervals = False
20.5567 	EXP 	RestCrossHair: autoDraw = False
20.5567 	EXP 	RestCrossHair: autoDraw = False
20.5567 	EXP 	UpperText: text = u' J H L G K W '
20.5567 	EXP 	UpperBrackets: text = '{           }'
20.5567 	EXP 	LowerText: text = u' w b q r d f '
20.5567 	EXP 	LowerBrackets: text = '{ }          '
20.5567 	EXP 	TopUpperLine: autoDraw = True
20.5567 	EXP 	UpperText: autoDraw = True
20.5567 	EXP 	UpperBrackets: autoDraw = True
20.5567 	EXP 	BotUpperLine: autoDraw = True
20.5567 	EXP 	TopLowerLine: autoDraw = True
20.5567 	EXP 	BotLowerLine: autoDraw = True
20.5567 	EXP 	TrialCrossHair: autoDraw = True
20.5572 	EXP 	window1: recordFrameIntervals = False
21.8177 	EXP 	UpperText: autoDraw = False
21.8177 	EXP 	UpperBrackets: autoDraw = False
26.8204 	EXP 	LowerText: autoDraw = True
26.8204 	EXP 	LowerBrackets: autoDraw = True
27.8596 	DATA 	Keypress: down
28.8171 	EXP 	LowerText: autoDraw = False
28.8171 	EXP 	LowerBrackets: autoDraw = False
28.8171 	EXP 	TrialCrossHair: autoDraw = False
