0.5460 	WARNING 	Movie2 stim could not be imported and won't be available
12.1901 	EXP 	Created TrialCrossHair = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'green', colorSpace='named', contrast=1.0, depth=-9.0, flipHoriz=False, flipVert=False, font=u'Courier', fontFiles=[], height=0.2, italic=False, name='TrialCrossHair', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([   0.,  128.,    0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
12.1930 	EXP 	Created RestCrossHair = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'red', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font=u'Courier', fontFiles=[], height=0.2, italic=False, name='RestCrossHair', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,    0.,    0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
12.2137 	EXP 	Created RestCrossHair = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'red', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font=u'Courier', fontFiles=[], height=0.1, italic=False, name='RestCrossHair', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,    0.,    0.]), text=u'Waiting for Scanner, press r to advance', units=u'norm', win=Window(...), wrapWidth=1)
12.2276 	EXP 	Imported ../../ExperimentalTrials/Practice30Trials6LoadsVer2.csv as conditions, 30 conditions, 14 params
12.2284 	EXP 	Created sequence: sequential, trialTypes=30, nReps=1, seed=None
12.3528 	EXP 	RestCrossHair: autoDraw = True
136.9807 	DATA 	Keypress: r
136.9968 	EXP 	RestCrossHair: autoDraw = False
136.9968 	EXP 	RestCrossHair: autoDraw = True
146.9845 	EXP 	New trial (rep=0, index=0): {'RetDur': 5, 'BotBrack': 4, 'StimDur': 2, 'UpBrack': 345, 'ProbeDurITI': 6, 'ProbeDur': 2, 'ProbeStart': 7, 'TrialDur': 9, 'ITI': 4, 'StimSet': 'QNLJXB', 'RetStart': 2, 'ProbeLet': 'dkymwf', 'TrialITIDur': 13, 'Correct': 'right'}
147.0256 	EXP 	window1: recordFrameIntervals = False
147.0505 	EXP 	RestCrossHair: autoDraw = False
147.0505 	EXP 	UpperText: text = ' Q N L J X B '
147.0505 	EXP 	UpperBrackets: text = '    {     }  '
