RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,r,2.3870601845,,,,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
,,,,,,,,,,,,,,0,-1,-1,0,,,1465841841.37,,,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,4,2,345,6,2,7,9,4,QNLJXB,2,dkymwf,13,right,0,0,0,0,,,1465841851.38,None,0,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,1,2,12345,6,2,7,9,4,KMWQTH,2,xljbgr,13,right,0,1,1,1,,,1465841864.38,['right'],0,[1.3583411197178066],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,0,2,23456,4,0,7,7,4,QFNXWJ,2, ,11,none,0,2,2,2,,,1465841877.39,None,1,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,5,2,3456,6,2,7,9,4,KDMWTN,2,lbygxq,13,right,0,3,3,3,,,1465841888.4,['right'],0,[1.180930889211595],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
0,2,2,45,6,2,2,4,4,DGYMKL,2,wrnfhb,8,right,0,4,4,4,,,1465841901.39,['right'],0,[0.935965561773628],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
0,6,2,4,6,2,2,4,4,TQNFHX,2,glkywj,8,right,0,5,5,5,,,1465841909.4,['right'],0,[0.8935628933832049],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,5,2,123456,6,2,7,9,4,BYLGJK,2,nwtxbq,13,down,0,6,6,6,,,1465841917.4,['down'],0,[1.4056643354706466],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,0,2,123456,4,0,7,7,4,JYQLXH,2, ,11,none,0,7,7,7,,,1465841930.41,None,1,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,3,2,123456,6,2,7,9,4,LNJFYG,2,wmbhkd,13,right,0,8,8,8,,,1465841941.41,['right'],0,[1.383082201704383],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
0,0,2,2345,4,0,2,2,4,QRLFXY,2, ,6,none,0,9,9,9,,,1465841954.4,None,1,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
0,4,2,1234,6,2,2,4,4,WTMBDK,2,yfntrq,8,down,0,10,10,10,,,1465841960.41,['down'],0,[1.0335049596615136],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,4,2,456,6,2,7,9,4,YHGRTB,2,fmkblj,13,down,0,11,11,11,,,1465841968.41,['down'],0,[1.1057970994152129],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
0,2,2,123456,6,2,2,4,4,TXMGQW,2,lbyrkd,8,right,0,12,12,12,,,1465841981.42,['down'],0,[1.8994510467164218],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
0,0,2,4,4,0,2,2,4,WXDKQF,2, ,6,none,0,13,13,13,,,1465841989.42,None,1,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
0,1,2,12345,6,2,2,4,4,TGYHXQ,2,bjrlnf,8,right,0,14,14,14,,,1465841995.43,['down'],0,[1.4549395954236388],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,0,2,45,4,0,7,7,4,BLQMYG,2, ,11,none,0,15,15,15,,,1465842003.43,None,1,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,1,2,23456,6,2,7,9,4,LXNHTW,2,hbdmjf,13,down,0,16,16,16,,,1465842014.45,['down'],0,[1.1253462773747742],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,4,2,45,6,2,7,9,4,DYFRMQ,2,twbkjn,13,right,0,17,17,17,,,1465842027.44,['right'],0,[0.9429091741330922],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
0,5,2,234,6,2,2,4,4,JKLXRW,2,bnqfkt,8,down,0,18,18,18,,,1465842040.44,['down'],0,[0.951223527546972],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,1,2,1234,6,2,7,9,4,YBMJQW,2,jrnfdg,13,down,0,19,19,19,,,1465842048.46,['down'],0,[1.883996850810945],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
0,0,2,456,4,0,2,2,4,MDYFGQ,2, ,6,none,0,20,20,20,,,1465842061.45,None,1,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,2,2,3,6,2,7,9,4,QRDTMH,2,jdkfnb,13,down,0,21,21,21,,,1465842067.46,['down'],0,[0.7716091903857887],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
0,0,2,12,4,0,2,2,4,BYFJDK,2, ,6,none,0,22,22,22,,,1465842080.45,None,1,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,0,2,2,4,0,7,7,4,FTDKHM,2, ,11,none,0,23,23,23,,,1465842086.46,None,1,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,2,2,56,6,2,7,9,4,WQTNRM,2,fmkldh,13,down,0,24,24,24,,,1465842097.45,['down'],0,[1.09491450432688],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
0,0,2,123456,4,0,2,2,4,NXRLJT,2, ,6,none,0,25,25,25,,,1465842110.47,None,1,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
0,0,2,12345,4,0,2,2,4,KJYLHF,2, ,6,none,0,26,26,26,,,1465842116.47,None,1,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,0,2,234,4,0,7,7,4,RWMGDH,2, ,11,none,0,27,27,27,,,1465842122.48,None,1,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,5,2,5,6,2,7,9,4,GNJKWL,2,fhrmdq,13,right,0,28,28,28,,,1465842133.48,['right'],0,[1.0776039161719382],62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
5,0,2,3456,4,0,7,7,4,WXQGNR,2, ,11,none,0,29,29,29,,,1465842146.49,None,1,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
,,,,,,,,,,,,,,,,,,,,1465842157.48,,,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
,,,,,,,,,,,,,,,,,,,,1465842167.48,,,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
,,,,,,,,,,,,,,,,,,,,1465842167.48,,,,62160613001,2016_Jun_13_1417,PartT,1,178.453492393,
