RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,equal,35.7686653191,,,,,62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
,,,,,,,,,,,,,,0,-1,-1,0,,,1471898305.36,,,,62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
4,4,2.5,345,6.507,2.5,6.5,9.0,4.007,LXDRFJ,2.5,gynqbh,13.007,7,0,0,0,0,,,1471898315.36,['3'],0,[0.8219653615815332],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
0,0,2.5,345,3.502,0.0,2.5,2.5,3.502,YXDMLR,2.5, ,6.002,6,0,1,1,1,,,1471898328.37,None,0,,62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
0,0,2.5,56,3.589,0.0,2.5,2.5,3.589,GKQNHJ,2.5, ,6.089,6,0,2,2,2,,,1471898334.38,None,0,,62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
4,4,2.5,234,7.467,2.5,6.5,9.0,4.967,JDMHWQ,2.5,xrtdgl,13.967,6,0,3,3,3,,,1471898340.46,['2'],0,[0.5617211323260562],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
4,0,2.5,345,4.575,0.0,6.5,6.5,4.575,TJFXRG,2.5, ,11.075,6,0,4,4,4,,,1471898354.44,None,0,,62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
4,2,2.5,123456,6.58,2.5,6.5,9.0,4.08,WKXGRJ,2.5,nrbfth,13.08,6,0,5,5,5,,,1471898365.51,['2'],0,[1.082022391648934],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
4,5,2.5,23456,6.557,2.5,6.5,9.0,4.057,RYXTHJ,2.5,mwnbyd,13.057,6,0,6,6,6,,,1471898378.6,['3'],0,[1.5507531483126513],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
4,0,2.5,12345,4.522,0.0,6.5,6.5,4.522,DHTFLB,2.5, ,11.022,7,0,7,7,7,,,1471898391.66,None,0,,62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
4,2,2.5,23,6.986,2.5,6.5,9.0,4.486,NFJTWY,2.5,xmrbhg,13.486,7,0,8,8,8,,,1471898402.69,['3'],0,[0.8003528868903231],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
4,0,2.5,4,5.196,0.0,6.5,6.5,5.196,YNXJRW,2.5, ,11.696,7,0,9,9,9,,,1471898416.17,None,0,,62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
0,0,2.5,234,3.504,0.0,2.5,2.5,3.504,NQYXLJ,2.5, ,6.004,7,0,10,10,10,,,1471898427.87,None,0,,62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
0,6,2.5,123,5.603,2.5,2.5,5.0,3.103,MHFLXR,2.5,jkdtnf,8.103,6,0,11,11,11,,,1471898433.87,['2'],0,[1.048202559373749],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
0,2,2.5,123456,6.15,2.5,2.5,5.0,3.65,HGDJQF,2.5,bqlxwr,8.65,6,0,12,12,12,,,1471898441.98,['2'],0,[1.1343626278176089],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
4,4,2.5,12,6.999,2.5,6.5,9.0,4.499,BKGRHD,2.5,njqxfy,13.499,7,0,13,13,13,,,1471898450.63,['3'],0,[0.8119029946938099],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
4,5,2.5,2345,6.814,2.5,6.5,9.0,4.314,XKGNRJ,2.5,lytmqh,13.314,7,0,14,14,14,,,1471898464.13,['3'],0,[0.8874390986857179],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
0,2,2.5,1,5.666,2.5,2.5,5.0,3.166,LNRXJH,2.5,kgdyfm,8.166,7,0,15,15,15,,,1471898477.44,['3'],0,[0.9272813258976385],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
0,5,2.5,23456,6.618,2.5,2.5,5.0,4.118,MDJHWK,2.5,btfgkr,9.118,6,0,16,16,16,,,1471898485.62,['2'],0,[1.9645315011875937],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
4,2,2.5,4,6.551,2.5,6.5,9.0,4.051,MWLDYH,2.5,nkjfgr,13.051,7,0,17,17,17,,,1471898494.74,['3'],0,[1.2505250608810456],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
0,3,2.5,45,5.558,2.5,2.5,5.0,3.058,TXJGDQ,2.5,ryfbmw,8.058,7,0,18,18,18,,,1471898507.8,['3'],0,[0.9737613243196392],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
4,4,2.5,5,6.662,2.5,6.5,9.0,4.162,FQHLYT,2.5,xrjdkn,13.162,7,0,19,19,19,,,1471898515.87,['3'],0,[0.7172881734441034],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
0,3,2.5,123456,5.579,2.5,2.5,5.0,3.079,YRBWLK,2.5,mfnhdq,8.079,7,0,20,20,20,,,1471898529.03,['3'],0,[1.3423027470671514],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
4,0,2.5,2345,4.994,0.0,6.5,6.5,4.994,NWLGFK,2.5, ,11.494,7,0,21,21,21,,,1471898537.1,None,0,,62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
0,4,2.5,12345,5.564,2.5,2.5,5.0,3.064,GYKWTB,2.5,ldxqnf,8.064,7,0,22,22,22,,,1471898548.59,['3'],0,[1.563654702888016],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
4,1,2.5,12345,6.703,2.5,6.5,9.0,4.203,HWRQXK,2.5,fydbng,13.203,7,0,23,23,23,,,1471898556.66,['3'],0,[0.9182813965053356],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
0,0,2.5,2345,3.779,0.0,2.5,2.5,3.779,RTDFBG,2.5, ,6.279,6,0,24,24,24,,,1471898569.87,None,0,,62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
0,0,2.5,12345,3.532,0.0,2.5,2.5,3.532,QJXNDK,2.5, ,6.032,6,0,25,25,25,,,1471898576.16,None,0,,62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
0,0,2.5,4,3.745,0.0,2.5,2.5,3.745,RDXLBF,2.5, ,6.245,6,0,26,26,26,,,1471898582.18,None,0,,62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
4,6,2.5,123456,6.504,2.5,6.5,9.0,4.004,YDFHTM,2.5,wrqxbg,13.004,7,0,27,27,27,,,1471898588.43,['3'],0,[0.9427474272415566],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
0,4,2.5,2345,5.59,2.5,2.5,5.0,3.09,DMYNBQ,2.5,jfrhtl,8.09,7,0,28,28,28,,,1471898601.45,['3'],0,[0.8365492457051005],62160822007,2016_Aug_22_1637,PartT,1,176.716119066,
