RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,equal,111.213166918,,,,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
,,,,,,,,,,,,,,0,-1,-1,0,,,1470853362.61,,,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,0,2.5,23,4.524,0.0,6.5,6.5,4.524,QGHFKR,2.5, ,11.024,7,0,0,0,0,,,1470853372.61,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,0,2.5,23456,4.63,0.0,6.5,6.5,4.63,XDJLTM,2.5, ,11.13,7,0,1,1,1,,,1470853383.64,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,4,2.5,2345,6.787,2.5,6.5,9.0,4.287,XYNBRF,2.5,gkqdtj,13.287,7,0,2,2,2,,,1470853394.78,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,1,2.5,123456,6.709,2.5,6.5,9.0,4.209,FKMTQG,2.5,yhdlwb,13.209,7,0,3,3,3,,,1470853408.07,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,5,2.5,2,7.069,2.5,6.5,9.0,4.569,TNJDWB,2.5,qxhyfl,13.569,7,0,4,4,4,,,1470853421.28,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
0,3,2.5,2345,6.17,2.5,2.5,5.0,3.67,LRHKMY,2.5,qgrnfw,8.67,6,0,5,5,5,,,1470853434.85,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,1,2.5,6,7.065,2.5,6.5,9.0,4.565,WRBDHN,2.5,myqxgl,13.565,7,0,6,6,6,,,1470853443.51,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,6,2.5,345,6.612,2.5,6.5,9.0,4.112,XLTFHQ,2.5,rgjdbh,13.112,6,0,7,7,7,,,1470853457.08,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,5,2.5,6,6.55,2.5,6.5,9.0,4.05,WBFJTY,2.5,rmhqyd,13.05,6,0,8,8,8,,,1470853470.2,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
0,0,2.5,123456,3.604,0.0,2.5,2.5,3.604,JGMQFB,2.5, ,6.104,6,0,9,9,9,,,1470853483.24,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
0,3,2.5,1234,5.625,2.5,2.5,5.0,3.125,KTMWNL,2.5,drbgfq,8.125,7,0,10,10,10,,,1470853489.36,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,6,2.5,23456,6.525,2.5,6.5,9.0,4.025,KLQMGW,2.5,ydjrtb,13.025,7,0,11,11,11,,,1470853497.49,['3'],0,[0.9574676055090094],62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
0,0,2.5,34,3.9,0.0,2.5,2.5,3.9,KMNFBQ,2.5, ,6.4,6,0,12,12,12,,,1470853510.51,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,2,2.5,2345,6.538,2.5,6.5,9.0,4.038,GJBMRN,2.5,hjxlqk,13.038,6,0,13,13,13,,,1470853516.91,['2'],0,[0.6032575942917902],62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,0,2.5,12345,4.52,0.0,6.5,6.5,4.52,YRMBKD,2.5, ,11.02,6,0,14,14,14,,,1470853529.96,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
0,1,2.5,12345,6.637,2.5,2.5,5.0,4.137,WHQBYD,2.5,gntfrx,9.137,7,0,15,15,15,,,1470853540.98,['3'],0,[1.4469906088415883],62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,6,2.5,45,6.616,2.5,6.5,9.0,4.116,XYDNTF,2.5,kgmjwn,13.116,6,0,16,16,16,,,1470853550.12,['2'],0,[0.6833895204581495],62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,4,2.5,345,7.639,2.5,6.5,9.0,5.139,LMBRKW,2.5,fnxgtj,14.139,7,0,17,17,17,,,1470853563.24,['3'],0,[0.99961205431282],62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,6,2.5,12345,7.118,2.5,6.5,9.0,4.618,MFXWDL,2.5,jhrbkd,13.618,6,0,18,18,18,,,1470853577.37,['2'],0,[1.1176136372978362],62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,6,2.5,123456,6.501,2.5,6.5,9.0,4.001,JRHKTN,2.5,mlyxbd,13.001,7,0,19,19,19,,,1470853590.99,['3'],0,[0.7460790801615076],62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
0,1,2.5,123,5.5,2.5,2.5,5.0,3.0,GJDXLW,2.5,jqmrhf,8.0,6,0,20,20,20,,,1470853604.0,['2'],0,[0.7966507766304858],62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,4,2.5,234,6.62,2.5,6.5,9.0,4.12,XWMYTB,2.5,hdnmfk,13.12,6,0,21,21,21,,,1470853612.01,['2'],0,[0.7119201546192926],62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,3,2.5,2345,6.917,2.5,6.5,9.0,4.417,JKFLDH,2.5,ynqxrg,13.417,7,0,22,22,22,,,1470853625.12,['3'],0,[0.8372175796448573],62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
0,5,2.5,123456,7.472,2.5,2.5,5.0,4.972,NHWFQR,2.5,xbktqj,9.972,6,0,23,23,23,,,1470853638.54,['2'],0,[0.8110417142179358],62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,0,2.5,123,4.524,0.0,6.5,6.5,4.524,QWYKRB,2.5, ,11.024,7,0,24,24,24,,,1470853648.53,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
0,0,2.5,2345,3.502,0.0,2.5,2.5,3.502,HXTQMD,2.5, ,6.002,7,0,25,25,25,,,1470853659.54,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,5,2.5,123,6.521,2.5,6.5,9.0,4.021,GRKBTJ,2.5,nymxql,13.021,7,0,26,26,26,,,1470853665.55,['3'],0,[0.9396660300790245],62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,0,2.5,3456,4.886,0.0,6.5,6.5,4.886,XTRNKH,2.5, ,11.386,7,0,27,27,27,,,1470853678.57,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
0,0,2.5,6,3.538,0.0,2.5,2.5,3.538,WLRJNG,2.5, ,6.038,6,0,28,28,28,,,1470853689.96,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,4,2.5,3456,6.915,2.5,6.5,9.0,4.415,XTNJWF,2.5,ygbqdh,13.415,7,0,29,29,29,,,1470853696.01,['3'],0,[0.8258821761755826],62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,3,2.5,12,6.628,2.5,6.5,9.0,4.128,KXBLTD,2.5,mnygrf,13.128,7,0,30,30,30,,,1470853709.41,['3'],0,[0.7336820602431544],62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
4,0,2.5,345,4.515,0.0,6.5,6.5,4.515,QRFJDH,2.5, ,11.015,6,0,31,31,31,,,1470853722.55,None,0,,62160810004,2016_Aug_10_1420,PartT,1,182.074955525,
