3.4017 	EXP 	Created TopLowerLine = Line(autoDraw=False, autoLog=True, closeShape=False, contrast=1.0, depth=0, fillColor=None, fillColorSpace=u'rgb', fillRGB=None, interpolate=True, lineColor=u'cyan', lineColorSpace='named', lineRGB=array([   0.,  255.,  255.]), lineWidth=2, name='TopLowerLine', opacity=1.0, ori=array(0.0), pos=array([ 0.  , -0.15]), size=array([ 1.,  1.]), units=u'norm', vertices=array([[-1.,  0.],
       [ 1.,  0.]]), win=Window(...))
3.4075 	EXP 	Created LowerText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 0.,  0.,  0.]), colorSpace=u'rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font=u'Courier', fontFiles=[], height=0.25, italic=False, name='LowerText', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=2)
3.4149 	EXP 	Created LowerBrackets = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'cyan', colorSpace='named', contrast=1.0, depth=-7.0, flipHoriz=False, flipVert=False, font=u'Courier', fontFiles=[], height=0.25, italic=False, name='LowerBrackets', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([   0.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1.5)
3.4165 	EXP 	Created BotLowerLine = Line(autoDraw=False, autoLog=True, closeShape=False, contrast=1.0, depth=0, fillColor=None, fillColorSpace=u'rgb', fillRGB=None, interpolate=True, lineColor=u'cyan', lineColorSpace='named', lineRGB=array([   0.,  255.,  255.]), lineWidth=2, name='BotLowerLine', opacity=1.0, ori=array(0.0), pos=array([ 0.  , -0.45]), size=array([ 1.,  1.]), units=u'norm', vertices=array([[-1.,  0.],
       [ 1.,  0.]]), win=Window(...))
3.4206 	EXP 	Created TrialCrossHair = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'green', colorSpace='named', contrast=1.0, depth=-9.0, flipHoriz=False, flipVert=False, font=u'Courier', fontFiles=[], height=0.2, italic=False, name='TrialCrossHair', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([   0.,  128.,    0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
3.4235 	EXP 	Created RestCrossHair = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'red', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font=u'Courier', fontFiles=[], height=0.2, italic=False, name='RestCrossHair', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,    0.,    0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
3.4714 	EXP 	Created RestCrossHair = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'red', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font=u'Courier', fontFiles=[], height=0.1, italic=False, name='RestCrossHair', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,    0.,    0.]), text=u'Waiting for Scanner\n Or press r to advance', units=u'norm', win=Window(...), wrapWidth=1)
3.4816 	EXP 	Created RestCrossHair = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'yellow', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font=u'Courier', fontFiles=[], height=0.1, italic=False, name='RestCrossHair', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,    0.]), text=u'Merci\nThank you', units=u'norm', win=Window(...), wrapWidth=1)
3.4873 	EXP 	Created FeedbackMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Courier', fontFiles=[], height=0.1, italic=False, name='FeedbackMsg', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
3.5016 	EXP 	Imported /Users/jason/Dropbox/SteffenerColumbia/Scripts/ExperimentalStimuli/PartialTrialDIR/ExperimentalTrials/Training30TrialsInOrder.csv as conditions, 30 conditions, 14 params
3.5021 	EXP 	Created sequence: sequential, trialTypes=30, nReps=1, seed=None
3.6093 	EXP 	RestCrossHair: autoDraw = True
8.3036 	DATA 	Keypress: r
8.3115 	EXP 	RestCrossHair: autoDraw = False
8.3115 	EXP 	RestCrossHair: autoDraw = True
13.2987 	EXP 	New trial (rep=0, index=0): {'RetDur': 0, 'BotBrack': 1, 'StimDur': 2, 'UpBrack': 2, 'ProbeDurITI': 6.9199999999999999, 'ProbeDur': 2, 'ProbeStart': 2, 'TrialDur': 4, 'ITI': 4.9199999999999999, 'StimSet': u'KTJDRY', 'RetStart': 2, 'ProbeLet': u'tbnmqx', 'TrialITIDur': 8.9199999999999999, 'Correct': u'down'}
13.3391 	EXP 	window1: recordFrameIntervals = False
13.3645 	EXP 	RestCrossHair: autoDraw = False
13.3645 	EXP 	RestCrossHair: autoDraw = False
13.3645 	EXP 	UpperText: text = u' K T J D R Y '
13.3645 	EXP 	UpperBrackets: text = '  { }        '
13.3645 	EXP 	LowerText: text = u' t b n m q x '
13.3645 	EXP 	LowerBrackets: text = '{ }          '
13.3645 	EXP 	TopUpperLine: autoDraw = True
13.3645 	EXP 	UpperText: autoDraw = True
13.3645 	EXP 	UpperBrackets: autoDraw = True
13.3645 	EXP 	BotUpperLine: autoDraw = True
13.3645 	EXP 	TopLowerLine: autoDraw = True
13.3645 	EXP 	BotLowerLine: autoDraw = True
13.3645 	EXP 	TrialCrossHair: autoDraw = True
13.3647 	EXP 	window1: recordFrameIntervals = False
15.3155 	EXP 	UpperText: autoDraw = False
15.3155 	EXP 	UpperBrackets: autoDraw = False
15.3322 	EXP 	LowerText: autoDraw = True
15.3322 	EXP 	LowerBrackets: autoDraw = True
16.3999 	DATA 	Keypress: down
17.3165 	EXP 	LowerText: autoDraw = False
17.3165 	EXP 	LowerBrackets: autoDraw = False
17.3165 	EXP 	TrialCrossHair: autoDraw = False
17.3165 	EXP 	RestCrossHair: autoDraw = True
22.2525 	EXP 	TopUpperLine: autoDraw = False
22.2525 	EXP 	BotUpperLine: autoDraw = False
22.2525 	EXP 	TopLowerLine: autoDraw = False
22.2525 	EXP 	BotLowerLine: autoDraw = False
22.2525 	EXP 	RestCrossHair: autoDraw = False
22.2525 	EXP 	TopUpperLine: autoDraw = False
22.2525 	EXP 	UpperText: autoDraw = False
22.2525 	EXP 	UpperBrackets: autoDraw = False
22.2525 	EXP 	BotUpperLine: autoDraw = False
22.2525 	EXP 	TopLowerLine: autoDraw = False
22.2525 	EXP 	LowerText: autoDraw = False
22.2525 	EXP 	LowerBrackets: autoDraw = False
22.2525 	EXP 	BotLowerLine: autoDraw = False
22.2525 	EXP 	TrialCrossHair: autoDraw = False
22.2525 	EXP 	RestCrossHair: autoDraw = False
22.2525 	EXP 	FeedbackMsg: text = 'Correct! RT=1.085'
22.2525 	EXP 	FeedbackMsg: autoDraw = True
23.7364 	EXP 	FeedbackMsg: autoDraw = False
23.7364 	EXP 	RestCrossHair: autoDraw = True
24.7209 	EXP 	New trial (rep=0, index=1): {'RetDur': 0, 'BotBrack': 0, 'StimDur': 2, 'UpBrack': 2, 'ProbeDurITI': 4.2450000000000001, 'ProbeDur': 0, 'ProbeStart': 2, 'TrialDur': 2, 'ITI': 4.2450000000000001, 'StimSet': u'NDGJXB', 'RetStart': 2, 'ProbeLet': u' ', 'TrialITIDur': 6.2450000000000001, 'Correct': u'none'}
24.7444 	EXP 	window1: recordFrameIntervals = False
24.7532 	EXP 	RestCrossHair: autoDraw = False
24.7532 	EXP 	UpperText: text = u' N D G J X B '
24.7532 	EXP 	UpperBrackets: text = '  { }        '
24.7532 	EXP 	LowerText: text = u'   '
24.7532 	EXP 	LowerBrackets: text = ''
24.7532 	EXP 	TopUpperLine: autoDraw = True
24.7532 	EXP 	UpperText: autoDraw = True
24.7532 	EXP 	UpperBrackets: autoDraw = True
24.7532 	EXP 	BotUpperLine: autoDraw = True
24.7532 	EXP 	TopLowerLine: autoDraw = True
24.7532 	EXP 	BotLowerLine: autoDraw = True
24.7532 	EXP 	TrialCrossHair: autoDraw = True
24.7534 	EXP 	window1: recordFrameIntervals = False
26.7379 	EXP 	UpperText: autoDraw = False
26.7379 	EXP 	UpperBrackets: autoDraw = False
26.7379 	EXP 	TrialCrossHair: autoDraw = False
26.7546 	EXP 	LowerText: autoDraw = True
26.7546 	EXP 	LowerBrackets: autoDraw = True
26.7546 	EXP 	RestCrossHair: autoDraw = True
26.7713 	EXP 	LowerText: autoDraw = False
26.7713 	EXP 	LowerBrackets: autoDraw = False
30.9735 	EXP 	TopUpperLine: autoDraw = False
30.9735 	EXP 	BotUpperLine: autoDraw = False
30.9735 	EXP 	TopLowerLine: autoDraw = False
30.9735 	EXP 	BotLowerLine: autoDraw = False
30.9735 	EXP 	RestCrossHair: autoDraw = False
30.9735 	EXP 	TopUpperLine: autoDraw = False
30.9735 	EXP 	UpperText: autoDraw = False
30.9735 	EXP 	UpperBrackets: autoDraw = False
30.9735 	EXP 	BotUpperLine: autoDraw = False
30.9735 	EXP 	TopLowerLine: autoDraw = False
30.9735 	EXP 	LowerText: autoDraw = False
30.9735 	EXP 	LowerBrackets: autoDraw = False
30.9735 	EXP 	BotLowerLine: autoDraw = False
30.9735 	EXP 	TrialCrossHair: autoDraw = False
30.9735 	EXP 	RestCrossHair: autoDraw = False
30.9735 	EXP 	FeedbackMsg: text = 'No response, good!'
30.9735 	EXP 	FeedbackMsg: autoDraw = True
32.4743 	EXP 	FeedbackMsg: autoDraw = False
32.4743 	EXP 	RestCrossHair: autoDraw = True
33.4586 	EXP 	New trial (rep=0, index=2): {'RetDur': 5, 'BotBrack': 6, 'StimDur': 2, 'UpBrack': 3, 'ProbeDurITI': 6.0510000000000002, 'ProbeDur': 2, 'ProbeStart': 7, 'TrialDur': 9, 'ITI': 4.0510000000000002, 'StimSet': u'NWQMYF', 'RetStart': 2, 'ProbeLet': u'jhbrxg', 'TrialITIDur': 13.050999999999998, 'Correct': u'right'}
33.4952 	EXP 	window1: recordFrameIntervals = False
33.5082 	EXP 	RestCrossHair: autoDraw = False
33.5082 	EXP 	UpperText: text = u' N W Q M Y F '
33.5082 	EXP 	UpperBrackets: text = '    { }      '
33.5082 	EXP 	LowerText: text = u' j h b r x g '
33.5082 	EXP 	LowerBrackets: text = '          { }'
33.5082 	EXP 	TopUpperLine: autoDraw = True
33.5082 	EXP 	UpperText: autoDraw = True
33.5082 	EXP 	UpperBrackets: autoDraw = True
33.5082 	EXP 	BotUpperLine: autoDraw = True
33.5082 	EXP 	TopLowerLine: autoDraw = True
33.5082 	EXP 	BotLowerLine: autoDraw = True
33.5082 	EXP 	TrialCrossHair: autoDraw = True
33.5084 	EXP 	window1: recordFrameIntervals = False
35.4759 	EXP 	UpperText: autoDraw = False
35.4759 	EXP 	UpperBrackets: autoDraw = False
40.4785 	EXP 	LowerText: autoDraw = True
40.4785 	EXP 	LowerBrackets: autoDraw = True
41.8294 	DATA 	Keypress: right
42.4795 	EXP 	LowerText: autoDraw = False
42.4795 	EXP 	LowerBrackets: autoDraw = False
42.4795 	EXP 	TrialCrossHair: autoDraw = False
42.4795 	EXP 	RestCrossHair: autoDraw = True
46.5145 	EXP 	TopUpperLine: autoDraw = False
46.5145 	EXP 	BotUpperLine: autoDraw = False
46.5145 	EXP 	TopLowerLine: autoDraw = False
46.5145 	EXP 	BotLowerLine: autoDraw = False
46.5145 	EXP 	RestCrossHair: autoDraw = False
46.5145 	EXP 	TopUpperLine: autoDraw = False
46.5145 	EXP 	UpperText: autoDraw = False
46.5145 	EXP 	UpperBrackets: autoDraw = False
46.5145 	EXP 	BotUpperLine: autoDraw = False
46.5145 	EXP 	TopLowerLine: autoDraw = False
46.5145 	EXP 	LowerText: autoDraw = False
46.5145 	EXP 	LowerBrackets: autoDraw = False
46.5145 	EXP 	BotLowerLine: autoDraw = False
46.5145 	EXP 	TrialCrossHair: autoDraw = False
46.5145 	EXP 	RestCrossHair: autoDraw = False
46.5145 	EXP 	FeedbackMsg: text = 'Correct! RT=1.368'
46.5145 	EXP 	FeedbackMsg: autoDraw = True
48.0158 	EXP 	FeedbackMsg: autoDraw = False
48.0158 	EXP 	RestCrossHair: autoDraw = True
49.0003 	EXP 	New trial (rep=0, index=3): {'RetDur': 5, 'BotBrack': 6, 'StimDur': 2, 'UpBrack': 3, 'ProbeDurITI': 6.3529999999999998, 'ProbeDur': 2, 'ProbeStart': 7, 'TrialDur': 9, 'ITI': 4.3529999999999998, 'StimSet': u'JNDLBY', 'RetStart': 2, 'ProbeLet': u'tfmqgd', 'TrialITIDur': 13.353, 'Correct': u'down'}
49.0340 	EXP 	window1: recordFrameIntervals = False
49.0497 	EXP 	RestCrossHair: autoDraw = False
49.0497 	EXP 	UpperText: text = u' J N D L B Y '
49.0497 	EXP 	UpperBrackets: text = '    { }      '
49.0497 	EXP 	LowerText: text = u' t f m q g d '
49.0497 	EXP 	LowerBrackets: text = '          { }'
49.0497 	EXP 	TopUpperLine: autoDraw = True
49.0497 	EXP 	UpperText: autoDraw = True
49.0497 	EXP 	UpperBrackets: autoDraw = True
49.0497 	EXP 	BotUpperLine: autoDraw = True
49.0497 	EXP 	TopLowerLine: autoDraw = True
49.0497 	EXP 	BotLowerLine: autoDraw = True
49.0497 	EXP 	TrialCrossHair: autoDraw = True
49.0499 	EXP 	window1: recordFrameIntervals = False
51.0174 	EXP 	UpperText: autoDraw = False
51.0174 	EXP 	UpperBrackets: autoDraw = False
56.0199 	EXP 	LowerText: autoDraw = True
56.0199 	EXP 	LowerBrackets: autoDraw = True
57.0375 	DATA 	Keypress: down
58.0209 	EXP 	LowerText: autoDraw = False
58.0209 	EXP 	LowerBrackets: autoDraw = False
58.0209 	EXP 	TrialCrossHair: autoDraw = False
58.0209 	EXP 	RestCrossHair: autoDraw = True
62.3729 	EXP 	TopUpperLine: autoDraw = False
62.3729 	EXP 	BotUpperLine: autoDraw = False
62.3729 	EXP 	TopLowerLine: autoDraw = False
62.3729 	EXP 	BotLowerLine: autoDraw = False
