RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,equal,44.0650430969,,,,,62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
,,,,,,,,,,,,,,0,-1,-1,0,,,1465845705.91,,,,62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
5,4,2,345,6.007,2,7,9,4.007,LXDRFJ,2,gynqbh,13.007,7,0,0,0,0,,,1465845715.91,['3'],0,[1.0981814581900835],62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
0,0,2,345,4.002,0,2,2,4.002,YXDMLR,2, ,6.002,6,0,1,1,1,,,1465845728.92,None,0,,62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
0,0,2,56,4.089,0,2,2,4.089,GKQNHJ,2, ,6.089,6,0,2,2,2,,,1465845734.92,None,0,,62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
5,4,2,234,6.967,2,7,9,4.967,JDMHWQ,2,xrtdgl,13.967,6,0,3,3,3,,,1465845741.02,['2'],0,[0.9553579199127853],62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
5,0,2,345,4.075,0,7,7,4.075,TJFXRG,2, ,11.075,6,0,4,4,4,,,1465845754.99,None,0,,62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
5,2,2,123456,6.08,2,7,9,4.08,WKXGRJ,2,nrbfth,13.08,6,0,5,5,5,,,1465845766.08,['2'],0,[1.426860949024558],62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
5,5,2,23456,6.057,2,7,9,4.057,RYXTHJ,2,mwnbyd,13.057,6,0,6,6,6,,,1465845779.15,['3'],0,[1.5097167054191232],62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
5,0,2,12345,4.022,0,7,7,4.022,DHTFLB,2, ,11.022,7,0,7,7,7,,,1465845792.21,None,0,,62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
5,2,2,23,6.486,2,7,9,4.486,NFJTWY,2,xmrbhg,13.486,7,0,8,8,8,,,1465845803.24,['3'],0,[0.998378838878125],62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
5,0,2,4,4.696,0,7,7,4.696,YNXJRW,2, ,11.696,7,0,9,9,9,,,1465845816.73,None,0,,62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
0,0,2,234,4.004,0,2,2,4.004,NQYXLJ,2, ,6.004,7,0,10,10,10,,,1465845828.43,None,0,,62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
0,6,2,123,6.103,2,2,4,4.103,MHFLXR,2,jkdtnf,8.103,6,0,11,11,11,,,1465845834.44,"['3', '2']",0,"[1.1901323860511184, 1.6307471385225654]",62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
0,2,2,123456,6.65,2,2,4,4.65,HGDJQF,2,bqlxwr,8.65,6,0,12,12,12,,,1465845842.53,['3'],0,[1.3938716077245772],62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
5,4,2,12,6.499,2,7,9,4.499,BKGRHD,2,njqxfy,13.499,7,0,13,13,13,,,1465845851.19,['3'],0,[0.9973907060921192],62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
5,5,2,2345,6.314,2,7,9,4.314,XKGNRJ,2,lytmqh,13.314,7,0,14,14,14,,,1465845864.7,['3'],0,[1.7105317604728043],62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
0,2,2,1,6.166,2,2,4,4.166,LNRXJH,2,kgdyfm,8.166,7,0,15,15,15,,,1465845878.01,['3'],0,[0.9630499179475009],62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
0,5,2,23456,7.118,2,2,4,5.118,MDJHWK,2,btfgkr,9.118,6,0,16,16,16,,,1465845886.18,['2'],0,[1.1679336819797754],62160613001,2016_Jun_13_1521,PartT,1,181.972941676,
