RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,equal,17.4344125476,,,,,62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
,,,,,,,,,,,,,,0,-1,-1,0,,,1470854214.32,,,,62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,4,2.5,345,6.507,2.5,6.5,9.0,4.007,LXDRFJ,2.5,gynqbh,13.007,7,0,0,0,0,,,1470854224.32,['3'],0,[1.24479454889115],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
0,0,2.5,345,3.502,0.0,2.5,2.5,3.502,YXDMLR,2.5, ,6.002,6,0,1,1,1,,,1470854237.33,None,0,,62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
0,0,2.5,56,3.589,0.0,2.5,2.5,3.589,GKQNHJ,2.5, ,6.089,6,0,2,2,2,,,1470854243.34,None,0,,62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,4,2.5,234,7.467,2.5,6.5,9.0,4.967,JDMHWQ,2.5,xrtdgl,13.967,6,0,3,3,3,,,1470854249.42,['2'],0,[0.6823114830276609],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,0,2.5,345,4.575,0.0,6.5,6.5,4.575,TJFXRG,2.5, ,11.075,6,0,4,4,4,,,1470854263.4,None,0,,62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,2,2.5,123456,6.58,2.5,6.5,9.0,4.08,WKXGRJ,2.5,nrbfth,13.08,6,0,5,5,5,,,1470854274.48,['3'],0,[1.1778051552028046],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,5,2.5,23456,6.557,2.5,6.5,9.0,4.057,RYXTHJ,2.5,mwnbyd,13.057,6,0,6,6,6,,,1470854287.57,['2'],0,[0.7982345802884083],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,0,2.5,12345,4.522,0.0,6.5,6.5,4.522,DHTFLB,2.5, ,11.022,7,0,7,7,7,,,1470854300.62,None,0,,62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,2,2.5,23,6.986,2.5,6.5,9.0,4.486,NFJTWY,2.5,xmrbhg,13.486,7,0,8,8,8,,,1470854311.65,['3'],0,[1.1890999167462724],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,0,2.5,4,5.196,0.0,6.5,6.5,5.196,YNXJRW,2.5, ,11.696,7,0,9,9,9,,,1470854325.14,None,0,,62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
0,0,2.5,234,3.504,0.0,2.5,2.5,3.504,NQYXLJ,2.5, ,6.004,7,0,10,10,10,,,1470854336.85,None,0,,62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
0,6,2.5,123,5.603,2.5,2.5,5.0,3.103,MHFLXR,2.5,jkdtnf,8.103,6,0,11,11,11,,,1470854342.85,['2'],0,[1.1761380150655896],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
0,2,2.5,123456,6.15,2.5,2.5,5.0,3.65,HGDJQF,2.5,bqlxwr,8.65,6,0,12,12,12,,,1470854350.95,['2'],0,[1.64388884966138],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,4,2.5,12,6.999,2.5,6.5,9.0,4.499,BKGRHD,2.5,njqxfy,13.499,7,0,13,13,13,,,1470854359.61,['3'],0,[0.8174003287476808],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,5,2.5,2345,6.814,2.5,6.5,9.0,4.314,XKGNRJ,2.5,lytmqh,13.314,7,0,14,14,14,,,1470854373.1,['3'],0,[1.4734078626952396],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
0,2,2.5,1,5.666,2.5,2.5,5.0,3.166,LNRXJH,2.5,kgdyfm,8.166,7,0,15,15,15,,,1470854386.42,['3'],0,[0.8893661008551135],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
0,5,2.5,23456,6.618,2.5,2.5,5.0,4.118,MDJHWK,2.5,btfgkr,9.118,6,0,16,16,16,,,1470854394.6,['2'],0,[0.9801909595935285],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,2,2.5,4,6.551,2.5,6.5,9.0,4.051,MWLDYH,2.5,nkjfgr,13.051,7,0,17,17,17,,,1470854403.71,['3'],0,[0.8763955781578261],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
0,3,2.5,45,5.558,2.5,2.5,5.0,3.058,TXJGDQ,2.5,ryfbmw,8.058,7,0,18,18,18,,,1470854416.76,['3'],0,[1.069177489462163],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,4,2.5,5,6.662,2.5,6.5,9.0,4.162,FQHLYT,2.5,xrjdkn,13.162,7,0,19,19,19,,,1470854424.83,['3'],0,[0.7169355328678648],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
0,3,2.5,123456,5.579,2.5,2.5,5.0,3.079,YRBWLK,2.5,mfnhdq,8.079,7,0,20,20,20,,,1470854438.0,['3'],0,[1.01900030707111],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,0,2.5,2345,4.994,0.0,6.5,6.5,4.994,NWLGFK,2.5, ,11.494,7,0,21,21,21,,,1470854446.08,None,0,,62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
0,4,2.5,12345,5.564,2.5,2.5,5.0,3.064,GYKWTB,2.5,ldxqnf,8.064,7,0,22,22,22,,,1470854457.57,['3'],0,[1.9585723270338349],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,1,2.5,12345,6.703,2.5,6.5,9.0,4.203,HWRQXK,2.5,fydbng,13.203,7,0,23,23,23,,,1470854465.64,['3'],0,[0.8942722795763984],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
0,0,2.5,2345,3.779,0.0,2.5,2.5,3.779,RTDFBG,2.5, ,6.279,6,0,24,24,24,,,1470854478.84,None,0,,62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
0,0,2.5,12345,3.532,0.0,2.5,2.5,3.532,QJXNDK,2.5, ,6.032,6,0,25,25,25,,,1470854485.12,None,0,,62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
0,0,2.5,4,3.745,0.0,2.5,2.5,3.745,RDXLBF,2.5, ,6.245,6,0,26,26,26,,,1470854491.16,None,0,,62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,6,2.5,123456,6.504,2.5,6.5,9.0,4.004,YDFHTM,2.5,wrqxbg,13.004,7,0,27,27,27,,,1470854497.4,['3'],0,[0.8182993774807983],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
0,4,2.5,2345,5.59,2.5,2.5,5.0,3.09,DMYNBQ,2.5,jfrhtl,8.09,7,0,28,28,28,,,1470854510.41,['3'],0,[0.9888238800485851],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,6,2.5,12,6.517,2.5,6.5,9.0,4.017,FTHKMG,2.5,jqwxrb,13.017,7,0,29,29,29,,,1470854518.51,['3'],0,[0.8136464923954918],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,5,2.5,4,6.853,2.5,6.5,9.0,4.353,NJRKLB,2.5,hdgqkm,13.353,6,0,30,30,30,,,1470854531.52,['2'],0,[0.7171153426152159],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,5,2.5,45,6.504,2.5,6.5,9.0,4.004,FKMLQB,2.5,jdwnqr,13.004,6,0,31,31,31,,,1470854544.87,['2'],0,[0.8324981895857491],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
4,3,2.5,123456,6.666,2.5,6.5,9.0,4.166,NTWHYG,2.5,qdrbjk,13.166,7,0,32,32,32,,,1470854557.88,['3'],0,[0.7346455613278522],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
0,5,2.5,2345,5.794,2.5,2.5,5.0,3.294,BQDTJX,2.5,mrkhdw,8.294,6,0,33,33,33,,,1470854571.05,['2'],0,[0.8837070201334427],62160810004,2016_Aug_10_1436,PartT,1,176.040528429,
