RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,r,0.946674108505,,,,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
,,,,,,,,,,,,,,0,-1,-1,0,,,1452698028.87,,,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,4,2,345,6,2,7,9,4,QNLJXB,2,dkymwf,13,right,0,0,0,0,,,1452698038.87,None,0,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,1,2,12345,6,2,7,9,4,KMWQTH,2,xljbgr,13,right,0,1,1,1,,,1452698051.87,None,0,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,0,2,23456,4,0,7,7,4,QFNXWJ,2, ,11,none,0,2,2,2,,,1452698064.87,None,1,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,5,2,3456,6,2,7,9,4,KDMWTN,2,lbygxq,13,right,0,3,3,3,,,1452698075.86,None,0,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
0,2,2,45,6,2,2,4,4,DGYMKL,2,wrnfhb,8,right,0,4,4,4,,,1452698088.85,None,0,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
0,6,2,4,6,2,2,4,4,TQNFHX,2,glkywj,8,right,0,5,5,5,,,1452698096.84,None,0,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,5,2,123456,6,2,7,9,4,BYLGJK,2,nwtxbq,13,down,0,6,6,6,,,1452698104.83,None,0,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,0,2,123456,4,0,7,7,4,JYQLXH,2, ,11,none,0,7,7,7,,,1452698117.83,None,1,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,3,2,123456,6,2,7,9,4,LNJFYG,2,wmbhkd,13,right,0,8,8,8,,,1452698128.82,None,0,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
0,0,2,2345,4,0,2,2,4,QRLFXY,2, ,6,none,0,9,9,9,,,1452698141.81,None,1,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
0,4,2,1234,6,2,2,4,4,WTMBDK,2,yfntrq,8,down,0,10,10,10,,,1452698147.82,['down'],0,[1.3351469039916992],1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,4,2,456,6,2,7,9,4,YHGRTB,2,fmkblj,13,down,0,11,11,11,,,1452698155.82,['down'],0,[1.0527019500732422],1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
0,2,2,123456,6,2,2,4,4,TXMGQW,2,lbyrkd,8,right,0,12,12,12,,,1452698168.81,['down'],0,[1.7188589572906494],1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
0,0,2,4,4,0,2,2,4,WXDKQF,2, ,6,none,0,13,13,13,,,1452698176.81,None,1,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
0,1,2,12345,6,2,2,4,4,TGYHXQ,2,bjrlnf,8,right,0,14,14,14,,,1452698182.82,['right'],0,[1.2849881649017334],1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,0,2,45,4,0,7,7,4,BLQMYG,2, ,11,none,0,15,15,15,,,1452698190.82,None,1,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,1,2,23456,6,2,7,9,4,LXNHTW,2,hbdmjf,13,down,0,16,16,16,,,1452698201.83,['right'],0,[2.035116195678711],1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,4,2,45,6,2,7,9,4,DYFRMQ,2,twbkjn,13,right,0,17,17,17,,,1452698214.82,['right'],0,[0.9508380889892578],1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
0,5,2,234,6,2,2,4,4,JKLXRW,2,bnqfkt,8,down,0,18,18,18,,,1452698227.83,['down'],0,[1.0679590702056885],1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,1,2,1234,6,2,7,9,4,YBMJQW,2,jrnfdg,13,down,0,19,19,19,,,1452698235.83,['down'],0,[1.5179920196533203],1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
0,0,2,456,4,0,2,2,4,MDYFGQ,2, ,6,none,0,20,20,20,,,1452698248.84,None,1,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,2,2,3,6,2,7,9,4,QRDTMH,2,jdkfnb,13,down,0,21,21,21,,,1452698254.84,['down'],0,[0.9510331153869629],1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
0,0,2,12,4,0,2,2,4,BYFJDK,2, ,6,none,0,22,22,22,,,1452698267.83,None,1,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,0,2,2,4,0,7,7,4,FTDKHM,2, ,11,none,0,23,23,23,,,1452698273.83,None,1,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,2,2,56,6,2,7,9,4,WQTNRM,2,fmkldh,13,down,0,24,24,24,,,1452698284.84,['down'],0,[1.3847310543060303],1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
0,0,2,123456,4,0,2,2,4,NXRLJT,2, ,6,none,0,25,25,25,,,1452698297.83,None,1,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
0,0,2,12345,4,0,2,2,4,KJYLHF,2, ,6,none,0,26,26,26,,,1452698303.83,None,1,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,0,2,234,4,0,7,7,4,RWMGDH,2, ,11,none,0,27,27,27,,,1452698309.83,None,1,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,5,2,5,6,2,7,9,4,GNJKWL,2,fhrmdq,13,right,0,28,28,28,,,1452698320.84,['right'],0,[0.9505660533905029],1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
5,0,2,3456,4,0,7,7,4,WXQGNR,2, ,11,none,0,29,29,29,,,1452698333.83,None,1,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
,,,,,,,,,,,,,,,,,,,,1452698344.84,,,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
,,,,,,,,,,,,,,,,,,,,1452698354.84,,,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
,,,,,,,,,,,,,,,,,,,,1452698354.84,,,,1111,2016_Jan_13_1013,PartialTrial,2,59.9351535495,
