RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,r,4.75971916837,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
,,,,,,,,,,,,,,0,-1,-1,0,,,1471894461.14,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
0,1,2.5,2,6.42,2.5,2.5,5.0,3.92,KTJDRY,2.5,tbnmqx,8.92,down,0,0,0,0,,,1471894466.14,down,1,0.744435750448,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
0,1,2.5,2,6.42,2.5,2.5,5.0,3.92,KTJDRY,2.5,tbnmqx,8.92,down,0,0,0,0,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
0,0,2.5,2,3.745,0.0,2.5,2.5,3.745,NDGJXB,2.5, ,6.245,none,0,1,1,1,,,1471894477.57,None,10,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
0,0,2.5,2,3.745,0.0,2.5,2.5,3.745,NDGJXB,2.5, ,6.245,none,0,1,1,1,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,6,2.5,3,6.551,2.5,6.5,9.0,4.051,NWQMYF,2.5,jhbrxg,13.051,right,0,2,2,2,,,1471894486.3,down,0,0.711079400371,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,6,2.5,3,6.551,2.5,6.5,9.0,4.051,NWQMYF,2.5,jhbrxg,13.051,right,0,2,2,2,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,6,2.5,3,6.853,2.5,6.5,9.0,4.353,JNDLBY,2.5,tfmqgd,13.353,down,0,3,3,3,,,1471894501.86,right,0,0.730808388495,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,6,2.5,3,6.853,2.5,6.5,9.0,4.353,JNDLBY,2.5,tfmqgd,13.353,down,0,3,3,3,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,0,2.5,5,5.229,0.0,6.5,6.5,5.229,JXKMYH,2.5, ,11.729,none,0,4,4,4,,,1471894517.71,None,10,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,0,2.5,5,5.229,0.0,6.5,6.5,5.229,JXKMYH,2.5, ,11.729,none,0,4,4,4,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,6,2.5,12,6.517,2.5,6.5,9.0,4.017,KNTYRB,2.5,jfgldw,13.017,right,0,5,5,5,,,1471894531.95,right,1,0.941489580067,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,6,2.5,12,6.517,2.5,6.5,9.0,4.017,KNTYRB,2.5,jfgldw,13.017,right,0,5,5,5,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,4,2.5,34,6.986,2.5,6.5,9.0,4.486,HQDTGF,2.5,lbwnrx,13.486,right,0,6,6,6,,,1471894547.46,right,1,0.969186438897,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,4,2.5,34,6.986,2.5,6.5,9.0,4.486,HQDTGF,2.5,lbwnrx,13.486,right,0,6,6,6,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,0,2.5,34,4.747,0.0,6.5,6.5,4.747,KBTDYW,2.5, ,11.247,none,0,7,7,7,,,1471894563.46,None,10,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,0,2.5,34,4.747,0.0,6.5,6.5,4.747,KBTDYW,2.5, ,11.247,none,0,7,7,7,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
0,1,2.5,45,5.558,2.5,2.5,5.0,3.058,FMKRHT,2.5,ldynqj,8.058,right,0,8,8,8,,,1471894577.21,right,1,1.22387175542,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
0,1,2.5,45,5.558,2.5,2.5,5.0,3.058,FMKRHT,2.5,ldynqj,8.058,right,0,8,8,8,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
0,0,2.5,56,3.525,0.0,2.5,2.5,3.525,HTXMJR,2.5, ,6.025,none,0,9,9,9,,,1471894587.77,None,10,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
0,0,2.5,56,3.525,0.0,2.5,2.5,3.525,HTXMJR,2.5, ,6.025,none,0,9,9,9,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
0,0,2.5,123,3.502,0.0,2.5,2.5,3.502,YBDHMX,2.5, ,6.002,none,0,10,10,10,,,1471894596.3,None,10,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
0,0,2.5,123,3.502,0.0,2.5,2.5,3.502,YBDHMX,2.5, ,6.002,none,0,10,10,10,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,2,2.5,234,6.507,2.5,6.5,9.0,4.007,QXTJMN,2.5,bfylkh,13.007,right,0,11,11,11,,,1471894604.81,right,1,1.00464754827,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,2,2.5,234,6.507,2.5,6.5,9.0,4.007,QXTJMN,2.5,bfylkh,13.007,right,0,11,11,11,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,2,2.5,234,7.467,2.5,6.5,9.0,4.967,FBMDTY,2.5,jblrgh,13.967,down,0,12,12,12,,,1471894620.31,down,1,0.864771575938,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,2,2.5,234,7.467,2.5,6.5,9.0,4.967,FBMDTY,2.5,jblrgh,13.967,down,0,12,12,12,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,0,2.5,345,4.575,0.0,6.5,6.5,4.575,TDMLKB,2.5, ,11.075,none,0,13,13,13,,,1471894636.77,None,10,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,0,2.5,345,4.575,0.0,6.5,6.5,4.575,TDMLKB,2.5, ,11.075,none,0,13,13,13,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
0,2,2.5,345,6.2,2.5,2.5,5.0,3.7,JMKRNX,2.5,fbdgly,8.7,right,0,14,14,14,,,1471894650.36,right,1,1.04541263463,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
0,2,2.5,345,6.2,2.5,2.5,5.0,3.7,JMKRNX,2.5,fbdgly,8.7,right,0,14,14,14,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,0,2.5,2345,4.994,0.0,6.5,6.5,4.994,MDTQWF,2.5, ,11.494,none,0,15,15,15,,,1471894661.56,None,10,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,0,2.5,2345,4.994,0.0,6.5,6.5,4.994,MDTQWF,2.5, ,11.494,none,0,15,15,15,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
0,0,2.5,2345,3.779,0.0,2.5,2.5,3.779,KLFWTJ,2.5, ,6.279,none,0,16,16,16,,,1471894675.56,None,10,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
0,0,2.5,2345,3.779,0.0,2.5,2.5,3.779,KLFWTJ,2.5, ,6.279,none,0,16,16,16,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,4,2.5,2345,7.248,2.5,6.5,9.0,4.748,WNLMBQ,2.5,htfnxj,13.748,down,0,17,17,17,,,1471894684.34,down,1,0.823256461246,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,4,2.5,2345,7.248,2.5,6.5,9.0,4.748,WNLMBQ,2.5,htfnxj,13.748,down,0,17,17,17,,,,,,,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
4,4,2.5,2345,6.553,2.5,6.5,9.0,4.053,RXHGFK,2.5,jwtgnm,13.053,down,0,18,18,18,,,1471894700.58,right,0,1.23635580654,62160822007,2016_Aug_22_1534,PartT,1,194.24793863,
